파일명,제품명,용량,상품코드,정상가_표시,할인가_표시,할인 내용
롯데 BDF(1).jpg,니베아선 키브 프로텍트 로션,200ML,4040059006001,"23,800원","11,900원",2개 이상 개당
롯데 BDF(10).jpg,니베아데오 더마컨트를 롤온 (퓨어 센서티브),50ML,304005808676590,"10,400원","8,900원","핫썸머클리닝 롯데 KB국민신NH농협 삼성카드 50,000원이상구매시 5천원 롯데상품권증정"
롯데 BDF(11).jpg,니베아 데오롤온 (화이트),50ML,614005808355020,"9,400원","7,500원",증정
롯데 BDF(12).jpg,니베아데오드란트 스틱 (엑스트라 브라이트),50ML,8806322113556,"10,900원","8,900원",식별불가
롯데 BDF(13).jpg,니베아데오드란트스틱(드라이컴포트),50ML,8806322107227,"10,900원","8,900원","핫썸머클리닝 롯데KB국민신NH농협삼성카드 50,000원이상구매시 5천원롯데상품권증정"
롯데 BDF(14).jpg,니베아데오드란트스틱(펄앤뷰티),50ML,198806322113549,"10,900원","8,900원","핫썸머쿨러닝 롯데KB국민 신화NH농협 삼성카드 50,000원이상구매시 5천원 롯데상품권증정"
롯데 BDF(15).jpg,니베아데오 (펄앤뷰티),200ML,1440058083219331,"14,500원","11,900원",식별불가
롯데 BDF(16).jpg,니베아 데오 (드라이),200ML,4005808321735,"14,500원","11,900원","핫썸머쿨러 롯데KB국민신NH농협삼성카드 50,000원 이상구매시 5천원 롯데상품권증정"
롯데 BDF(17).jpg,니베아데오 (화이트),200ML,394005900007513,"14,500원","11,900원","핫썸머클리닝 롯데KB국민신화NH농협 삼성카드 50,000원이상구매시 5천원롯데상품권증정"
롯데 BDF(18).jpg,니베아 크림,150ML,184005808801046,"6,500원","5,200원",가격 할인
롯데 BDF(2).jpg,니베아 선키즈 센서티브 롤온,50ML,460000042354932,"17,800원","8,900원",2개 이상 개당
롯데 BDF(3).jpg,니베아프로텍트 앤 모이스춰 선로션,식별불가,2300000424670,"17,800원","8,900원",담을수록 할인
롯데 BDF(4).jpg,니베아 더마센서티브 선로션,200ML,84005900712288,"23,800원","11,900원",1개 이상 개당
롯데 BDF(5).jpg,니베아 키즈썬로션 (스윙),150ML,4740058085184,"19,800원","9,900원",2개 이상 개당
롯데 BDF(6).jpg,니베아선 페이스 영에이지 크림,50ML,5340059004759781,"15,800원","7,900원",1개 이상 개당
롯데 BDF(7).jpg,니베아 선세럼,90ML,254005808984763,"19,500원","9,750원",1개 이상 개당
롯데 BDF(8).jpg,니베아데오롤온 (펄앤뷰티),50ML,114005808323166,"9,400원","7,500원","핫썸머쿨러닝 롯데KB국민 신화NH농협삼성카드 50,000원이상구매시 5천원 롯데상품권증정"
롯데 BDF(9).jpg,니베아 데오롤온 (드라이),50ML,334005808725212,"9,400원","7,500원","핫썸머쿨러 롯데 KB국민신화농협 삼성카드 50,000원이상구매시 5천원 롯데상품권증정"
