파일명,제품명,용량,상품코드,정상가_표시,할인가_표시,할인 내용
롯데 바디(1).jpg,카밀 핸드&네일크림 미니 기획,30ML*3,8809369782532,"9,000원","6,900원",가격할인
롯데 바디(10).jpg,뉴트로지나 바디로션 (릴렉싱),450ML,48801008004890,"17,900원","10,700원",식별불가
롯데 바디(11).jpg,뉴트로지나 바디오일,250ML,8801008017623,"19,900원","13,900원",05/15-06/04
롯데 바디(12).jpg,해피바스정말순한바디밀크(베이비파우더),400G,8809803577236,"9,900원","5,990원",가격할인
롯데 바디(13).jpg,해피바스 정말 촉촉한 바디밀크 (애플 &바나나),400G,1088098035772291,"9,900원","5,990원",05/15-06/04
롯데 바디(14).jpg,해피바스 오리지널컬렉션 로션 오리지널향,500G,78809803540445,"9,900원","8,500원",가격할인 05/15-06/04
롯데 바디(15).jpg,해피바스 오리지널 컬렉션 로션 파우더향,500G,8809803540438,"9,900원","8,500원",가격할인
롯데 바디(16).jpg,해피바스 오리지널컬렉션 로션 코튼향,500G,38809803540421,"9,900원","8,500원",식별불가
롯데 바디(17).jpg,AK 바세린 핸드&네일 로션,450ML,8801046862438,"9,900원","9,900원",1+1
롯데 바디(17).jpg,AK 바세린 알로에 수딩 로션,450ML,8801046423905,"9,900원","9,900원",1+1
롯데 바디(18).jpg,도브 바디로션 (하이드레이션),400ML,148801619805138,"15,900원","15,900원",1+1
롯데 바디(19).jpg,AK 바세린 데일 리모이스처 로션,450ML,8801046862421,"9,900원","9,900원",1+1
롯데 바디(19).jpg,AK 바세린 리프 팅 리페어 로션,450ML,8801046871546,"9,900원","9,900원",1+1
롯데 바디(2).jpg,카밀 핸드크림 특별 기획팩,식별불가,78809369782839,"11,300원","8,900원",05/15-06/04
롯데 바디(20).jpg,도브 바디로션 (셔플바운스),400ML,식별불가,"15,900원","15,900원",1+1
롯데 바디(21).jpg,도브 바디로션 (너리시드라디언스),400ML,8801619805121,"15,900원","15,900원",1+1
롯데 바디(3).jpg,카밀 핸드크림 인텐시브,100ML,식별불가,"5,400원","5,400원",식별불가
롯데 바디(3).jpg,카밀 핸드크림 클래식,100ML,식별불가,"7,200원","7,200원",식별불가
롯데 바디(4).jpg,카밀 핸드크림 바이탈 Q10,75ML,64000196936646,"7,200원","5,400원",05/15-06/04
롯데 바디(4).jpg,카밀 핸드크림 자몽,75ML,124000196936684,"7,200원","7,200원",식별불가
롯데 바디(5).jpg,쿤달 바디로션 (일랑일랑),718ML,8809953771621,"14,900원","9,900원",05/15~06/04
롯데 바디(6).jpg,쿤달 바디로션 (화이트머스크),718ML,8809568748506,"14,900원","9,900원",식별불가
롯데 바디(7).jpg,쿤달 바디로션 (베이비파우더),718ML,8809568748490,"14,900원","9,900원",05/15-06/04
롯데 바디(8).jpg,아비노 스트레스 릴리프 로션,354ML,38801108003748,"21,900원","13,900원",05/15~06/04
롯데 바디(9).jpg,뉴트로지나 바디로션 (데일리),450ML,78801108000983,"17,900원","10,700원",가격할인
