파일명,제품명,용량,상품코드,정상가_표시,할인가_표시,할인 내용
KakaoTalk_20250509_120007463.jpg,니베아 리페어 바디 로션,625ml,0056594012288,"12,900원","12,900원",식별불가
KakaoTalk_20250509_120007463_01.jpg,니베아 Q10 바디로션 화이트,400ml,4005808237470,"16,900원","16,900원",식별불가
KakaoTalk_20250509_120007463_02.jpg,니베아 Q10 리치 바디 로션 400ml,400ml,4005800098833,"16,900원","16,900원",식별불가
KakaoTalk_20250509_120007463_03.jpg,니베아 익스프레스 바디 로션,400ml,4005808891436,"16,900원","16,900원",식별불가
KakaoTalk_20250509_120007463_04.jpg,니베아 인샤워 바디로션 나리싱(건조),400ml,4005800111723,"9,900원","9,900원",식별불가
KakaoTalk_20250509_120007463_05.jpg,니베아 인텐시브 바디 로션,400ml,4005808891412,"17,800원","17,800원",식별불가
KakaoTalk_20250509_120007463_06.jpg,니베아 SOS 바디 로션,400ml,4005808891450,"19,800원","19,800원",식별불가
KakaoTalk_20250509_120007463_07.jpg,니베아 스무드 바디 로션,400ml,4005808891474,"16,900원","16,900원",식별불가
KakaoTalk_20250509_120007463_08.jpg,니베아 소프트 크림 200ml,200ml,4005808519149,"7,600원","7,600원",식별불가
KakaoTalk_20250509_120007463_09.jpg,니베아크림,150ml,4005808801045,"6,500원","6,500원",식별불가
KakaoTalk_20250509_120007463_10.jpg,니베아 에스오에스 케어 핸드 크림,75ML,0000042332619,"5,800원","5,800원",식별불가
KakaoTalk_20250509_120007463_11.jpg,아트릭스 핸드앤네일 로션,400ML,4005808820924,"7,500원","7,500원",식별불가
KakaoTalk_20250509_120007463_12.jpg,아트릭스 핸드크림 점보틴,250ml,4005808858224,"7,800원","7,800원",식별불가
KakaoTalk_20250509_120007463_13.jpg,아트릭스 핸드 앤 네일케어,100ml,4005808639014,"4,500원","4,500원",식별불가
KakaoTalk_20250509_120007463_14.jpg,아트릭스 스트롱 핸드로션 75ml*2,식별불가,8806322114133,"8,900원","8,900원",식별불가
KakaoTalk_20250509_120007463_15.jpg,카밀 핸드크림 베스트 트리오 기획세트,식별불가,8809369782563,"13,800원","13,800원",식별불가
KakaoTalk_20250509_120007463_16.jpg,카밀 핸드&네일 크림 허벌 N,100ml,4000196936622,"7,200원","7,200원",식별불가
KakaoTalk_20250509_120007463_17.jpg,카밀 핸드&네일 크림 인텐시브 N,100ml,4000196936585,식별불가,식별불가,식별불가
KakaoTalk_20250509_120007463_18.jpg,카밀 핸드&네일 크림 클래식 N,100ml,4000196936561,"7,200원","7,200원",식별불가
KakaoTalk_20250509_120007463_19.jpg,카밀 핸드&네일 크림 스위티 N,75ml,4000196936707,"7,200원","7,200원",식별불가
KakaoTalk_20250509_120007463_20.jpg,카밀 핸드&네일 크림 프레쉬 N,75ml,4000196936660,"7,200원","7,200원",식별불가
KakaoTalk_20250509_120007463_21.jpg,뉴트로지나 인텐스리페어 핸드크림 2입,식별불가,8801108001201,"13,400원","13,400원",식별불가
KakaoTalk_20250509_120007463_22.jpg,뉴트로지나 인텐스리페어 핸드크림,56g,8801008004821,"8,900원","8,900원",식별불가
