파일명,제품명,용량,상품코드,정상가_표시,할인가_표시,할인 내용
롯데 맨(1).jpg,질레트 랩스 래피드 쉐이브젤,198ML,184987176132284,"15,900원","15,900원",1+1
롯데 맨(2).jpg,질레트 랩스 쉐이브폼 퀵틴스,240ML,284987176132277,"15,900원","15,900원",1+1
롯데 맨(3).jpg,질레트 퓨전 젤 (센서티브),195G,87702018864560,"9,900원","9,900원",증정
롯데 맨(4).jpg,질레트 스킨텍 쉐이브 젤,195G,184902430913829,"9,800원","9,800원",증정
롯데 맨(5).jpg,질레트 스킨텍 쉐이브 폼,245G,154902430913836,"9,000원","9,000원",1+1
롯데 맨(6).jpg,질레트 면도용 폼 (민감성),175G,200047400241442,"5,600원","5,600원",식별불가
롯데 맨(7).jpg,[공구핫딜] 도루코쿨링쉐이빙폼 더블팩,210ML*2입,123809389188864,식별불가,"5,990원",식별불가
롯데 바디(1).jpg,dm 발레아 리치 바디 로션,400ML,5406644736602,"4,900원","3,900원",05/01~05/14
롯데 바디(10).jpg,AK 바세린 핸드&네일 로션,450ML,988010468624381,"9,900원","9,900원",1+1
롯데 바디(11).jpg,AK 바세린 알로에 수딩 로션,450ML,8801046423905,"9,900원","9,900원",1+1
롯데 바디(12).jpg,AK 바세린 리프팅 리페어로션,450ML,8801046871546,"9,900원","9,900원",1+1
롯데 바디(13).jpg,AK 바세린 데일리 모이스처 로션,450ML,8801046862421,"9,900원","9,900원",1+1
롯데 바디(14).jpg,바세린 로션(알로에수드),400ML,138801619051085,"14,900원","14,900원",1+1
롯데 바디(15).jpg,바세린 로션(어드밴스드),400ML,1288016190511,"14,900원","14,900원",1+1
롯데 바디(16).jpg,바세린 로션(드라이스킨),400ML,8801619050279,"14,900원","14,900원",1+1
롯데 바디(17).jpg,바세린 로션(핸드앤네일),400ML,168801819051092,"14,900원","14,900원",1+1
롯데 바디(18).jpg,아비노 데일리 모이스춰라이징 로션,354ML,118801108003670,"21,900원","12,900원",05/01-05/14
롯데 바디(19).jpg,뉴트로지나 바디로션 (데일리),450ML,8801108000983,"17,900원","17,900원",1+1
롯데 바디(2).jpg,dm 발레아 매드 크리미 오일 바디로션,400ML,5406644759156,"5,900원","4,500원",05/01~05/14
롯데 바디(20).jpg,뉴트로지나 바디로션 (릴렉싱),450ML,8801008004890,"17,900원","17,900원",1+1
롯데 바디(21).jpg,뉴트로지나 시카 에멀젼,310ML,8801108002475,"22,000원","13,200원",가격할인
롯데 바디(22).jpg,해피바스 오리지널컬렉션 로션 코튼향,500G,8809803540421,"9,900원","8,500원",가격할인
롯데 바디(23).jpg,해피바스 오리지널컬렉션 로션 파우더향,500G,78809803540438,"9,900원","8,500원",가격할인
롯데 바디(24).jpg,해피바스 오리지널컬렉션 로션 오리지널향,500G,8809803540445,"9,900원","8,500원",05/01~05/14
롯데 바디(25).jpg,해피바스 정말 촉촉한 바디밀크(애플&바나나),400G,8809803577229,"9,900원","5,990원",가격할인
롯데 바디(26).jpg,히피바스 정말순한 바디밀크(베이비파우더),400G,8809803577236,"9,900원","5,990원",가격할인
롯데 바디(27).jpg,온더바디 퓨어더마바디로션 (베이비파우더),1L,8801051096729,"12,900원","10,980원",가격 할인 05/01~05/14
롯데 바디(28).jpg,온더바디 퓨어더마바디로션 (그린허브),식별불가,8801051096736,"12,900원","10,980원",식별불가
롯데 바디(29).jpg,온더바디 퓨어더마바디로션 (무향),식별불가,8809949554542,"12,900원","10,980원",가격 할인
롯데 바디(3).jpg,dm 발레아바디크림 시어버터,500ML,94066447109412,"6,900원","5,500원",05/01~05/14
롯데 바디(30).jpg,바이오더마 아토덤 울트라크림,500ML,9370112980534,"27,500원","23,500원",가격할인
롯데 바디(31).jpg,바이오더마 아토덤 PP밤,500ML,123401246652619,"32,000원","29,000원",가격할인
롯데 바디(32).jpg,바이오더마 아토덤 립스틱 듀오,식별불가,8809371193852,"14,000원","14,000원",식별불가
롯데 바디(33).jpg,더마비 데일리 바디로션 기획,500ML+50ML,8809723786015,"19,500원","13,600원",가격할인
롯데 바디(34).jpg,더마비 울트라모이스처 바디크림,430ML,8809048410664,"23,000원","14,900원",05/01~05/14
롯데 바디(35).jpg,더마비 세라엠디 리페어로션 기획,식별불가,8809723789405,"22,000원","15,400원",가격 할인
롯데 바디(4).jpg,카밀 바디로션 (클래식),500ML,104000196935649,"12,900원","8,900원",05/01-05/14
롯데 바디(5).jpg,카밀 바디로션 바이탈 Q10,500ML,104000196934628,"12,900원","8,900원",가격 할인
롯데 바디(6).jpg,카밀 핸드크림자등,75ML,식별불가,"7,200원","5,400원",가격할인
롯데 바디(7).jpg,카밀 핸드크림 클래식,식별불가,34000196936561,"7,200원","5,400원",식별불가
롯데 바디(8).jpg,카밀 핸드&네일크림 미니기획,30ML*3,8808786253322,"9,000원","6,900원",가격할인
